sqft_living,sqft_living15,sqft_liv_per_bedroom,bathrooms,bedrooms,lat,grade,price,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8
860,1300,286.6666666666667,1.0,3,47.5093,6,210000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1830,1860,610.0,2.5,3,47.3291,8,298900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,2350,866.6666666666666,2.5,3,47.5123,8,475000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1730,1780,576.6666666666666,2.5,3,47.432,7,339950.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,1270,625.0,2.0,2,47.5426,7,340000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660,2150,553.3333333333334,1.75,3,47.3609,7,263000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3260,2390,652.0,2.5,5,47.7587,8,755000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1890,1580,630.0,2.25,3,47.4838,8,325000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,1360,430.0,1.5,3,47.6965,8,375000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3280,1570,820.0,2.5,4,47.426,9,706000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,2170,1085.0,2.5,2,47.7161,8,740000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,1320,443.3333333333333,1.75,3,47.4605,7,295500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2290,1460,458.0,2.0,5,47.634,7,580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1140,1880,570.0,2.0,2,47.5277,6,480000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,2110,546.6666666666666,2.25,3,47.5484,8,515000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460,2490,615.0,2.5,4,47.45,9,427500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820,1550,410.0,1.0,2,47.5294,6,389950.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120,1490,373.3333333333333,1.75,3,47.5445,7,464600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2350,2010,783.3333333333334,2.0,3,47.6476,8,875000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1970,1470,656.6666666666666,2.5,3,47.5328,6,291700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2350,2060,587.5,1.75,4,47.6879,8,555000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1970,2390,656.6666666666666,2.0,3,47.5717,8,550000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1740,2030,580.0,2.5,3,47.3363,8,257000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,1730,440.0,1.5,3,47.5009,7,327000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2740,2140,913.3333333333334,2.0,3,47.5056,9,850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2160,2040,432.0,2.75,5,47.667,7,671500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
